set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
28,25,3,static,weighted_tardy_jobs,0.7100000000,0.0000000000,100.000000,13.471,294,286,525.6000000000,557.3700000000,4.9700000000,0.0000000000,0.7100000000,0.0000000000
29,25,3,static,weighted_tardy_jobs,4.1100000000,3.7400000000,9.002433,35.801,339,393,943.2000000000,999.4800000000,241.7200000000,310.4500000000,4.1100000000,3.7400000000
30,50,3,static,weighted_tardy_jobs,5.0800000000,4.6900000000,7.677165,44.886,614,614,1914.8700000000,1947.1200000000,897.6300000000,883.8900000000,5.0800000000,4.6900000000
31,50,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,49.352,567,567,1610.6500000000,1610.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
32,50,3,static,weighted_tardy_jobs,2.0100000000,1.2200000000,39.303483,41.932,537,635,1517.6100000000,1536.4700000000,181.2900000000,189.9200000000,2.0100000000,1.2200000000
33,50,3,static,weighted_tardy_jobs,9.2500000000,8.8700000000,4.108108,42.044,572,609,1090.0400000000,1159.6500000000,594.6600000000,671.1100000000,9.2500000000,8.8700000000
34,50,3,static,weighted_tardy_jobs,1.1100000000,1.1100000000,0.000000,42.470,616,616,1617.3600000000,1617.3600000000,187.9200000000,187.9200000000,1.1100000000,1.1100000000
35,100,3,static,weighted_tardy_jobs,2.2300000000,1.1900000000,46.636771,153.677,1232,1375,5925.5500000000,6048.5700000000,157.2200000000,148.0700000000,2.2300000000,1.1900000000
36,100,3,static,weighted_tardy_jobs,3.5900000000,3.5500000000,1.114206,154.125,1114,1114,3549.7200000000,3602.4300000000,608.8500000000,621.1300000000,3.5900000000,3.5500000000
37,100,3,static,weighted_tardy_jobs,8.3400000000,8.3400000000,0.000000,156.905,1133,1133,5307.1200000000,5307.1200000000,2081.1600000000,2081.1600000000,8.3400000000,8.3400000000
38,100,3,static,weighted_tardy_jobs,17.0600000000,16.9700000000,0.527550,154.031,1174,1174,4124.9700000000,4340.0800000000,1598.0800000000,1666.0800000000,17.0600000000,16.9700000000
39,100,3,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,157.038,1216,1216,4501.5600000000,4501.5600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
40,12,6,static,weighted_tardy_jobs,1.5200000000,0.0000000000,100.000000,8.354,86,67,182.7200000000,184.1400000000,5.2100000000,0.0000000000,1.5200000000,0.0000000000
41,12,6,static,weighted_tardy_jobs,0.4500000000,0.4500000000,0.000000,8.354,94,94,96.8100000000,96.8100000000,5.4000000000,5.4000000000,0.4500000000,0.4500000000
42,12,6,static,weighted_tardy_jobs,3.6200000000,2.9900000000,17.403315,8.261,98,138,173.0200000000,165.5700000000,105.2800000000,93.8500000000,3.6200000000,2.9900000000
43,12,6,static,weighted_tardy_jobs,2.5800000000,1.6000000000,37.984496,8.609,86,86,162.2200000000,160.5500000000,71.8000000000,74.4900000000,2.5800000000,1.6000000000
44,12,6,static,weighted_tardy_jobs,4.3700000000,4.3100000000,1.372998,8.388,116,116,166.1800000000,169.4600000000,104.6900000000,108.5100000000,4.3700000000,4.3100000000
45,25,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,24.518,120,120,182.4600000000,182.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
46,25,6,static,weighted_tardy_jobs,0.1700000000,0.1700000000,0.000000,24.289,160,160,272.5300000000,272.5300000000,17.0000000000,17.0000000000,0.1700000000,0.1700000000
47,25,6,static,weighted_tardy_jobs,6.1100000000,5.8700000000,3.927987,24.382,128,246,234.4900000000,526.7500000000,76.0700000000,303.5300000000,6.1100000000,5.8700000000
48,25,6,static,weighted_tardy_jobs,4.6000000000,3.8900000000,15.434783,24.531,138,270,268.6000000000,766.3100000000,142.9700000000,510.1800000000,4.6000000000,3.8900000000
49,25,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,24.503,105,105,161.0500000000,161.0500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
50,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,80.914,256,256,524.0800000000,524.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
51,50,6,static,weighted_tardy_jobs,0.7500000000,0.7500000000,0.000000,86.456,222,222,485.7200000000,485.7200000000,13.5000000000,13.5000000000,0.7500000000,0.7500000000
52,50,6,static,weighted_tardy_jobs,6.8600000000,6.8600000000,0.000000,97.896,265,265,639.6300000000,639.6300000000,206.3300000000,206.3300000000,6.8600000000,6.8600000000
53,50,6,static,weighted_tardy_jobs,1.5700000000,0.6300000000,59.872611,90.757,259,246,487.1600000000,482.0400000000,26.7000000000,21.5400000000,1.5700000000,0.6300000000
54,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83.102,207,207,405.4700000000,405.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
55,100,6,static,weighted_tardy_jobs,0.9200000000,0.0000000000,100.000000,296.504,475,475,1236.1400000000,1308.4900000000,0.9200000000,0.0000000000,0.9200000000,0.0000000000
56,100,6,static,weighted_tardy_jobs,4.5100000000,3.7900000000,15.964523,307.301,480,492,1161.7000000000,1174.6800000000,176.9400000000,174.2800000000,4.5100000000,3.7900000000
57,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,296.258,462,462,832.5000000000,832.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
58,100,6,static,weighted_tardy_jobs,14.6400000000,13.2700000000,9.357923,295.923,454,482,1022.3200000000,1164.3600000000,330.4500000000,410.0200000000,14.6400000000,13.2700000000
59,100,6,static,weighted_tardy_jobs,16.2600000000,14.5600000000,10.455105,311.504,509,509,1523.4700000000,1590.5100000000,582.2100000000,579.8100000000,16.2600000000,14.5600000000
60,12,6,static,weighted_tardy_jobs,1.5100000000,0.4800000000,68.211921,9.399,101,122,214.7500000000,215.9700000000,30.3800000000,20.6400000000,1.5100000000,0.4800000000
61,12,6,static,weighted_tardy_jobs,0.9200000000,0.9200000000,0.000000,9.469,63,63,94.1800000000,94.1800000000,1.8400000000,1.8400000000,0.9200000000,0.9200000000
62,12,6,static,weighted_tardy_jobs,4.7600000000,4.0900000000,14.075630,9.639,105,118,152.7000000000,263.8700000000,97.9300000000,208.4600000000,4.7600000000,4.0900000000
63,12,6,static,weighted_tardy_jobs,0.5900000000,0.5900000000,0.000000,9.486,107,107,116.4700000000,116.4700000000,18.8800000000,18.8800000000,0.5900000000,0.5900000000
64,12,6,static,weighted_tardy_jobs,3.8300000000,3.8300000000,0.000000,9.420,73,73,119.5300000000,119.5300000000,72.3300000000,72.3300000000,3.8300000000,3.8300000000
65,25,6,static,weighted_tardy_jobs,1.4100000000,0.3000000000,78.723404,25.453,160,172,252.6800000000,303.3000000000,5.4300000000,12.9000000000,1.4100000000,0.3000000000
66,25,6,static,weighted_tardy_jobs,6.2000000000,6.2000000000,0.000000,24.912,165,165,375.2600000000,375.2600000000,175.1100000000,175.1100000000,6.2000000000,6.2000000000
67,25,6,static,weighted_tardy_jobs,1.1200000000,0.4800000000,57.142857,25.512,117,117,217.7200000000,212.2900000000,14.5900000000,4.1600000000,1.1200000000,0.4800000000
68,25,6,static,weighted_tardy_jobs,0.9200000000,0.9200000000,0.000000,25.729,182,182,414.2700000000,414.2700000000,101.2000000000,101.2000000000,0.9200000000,0.9200000000
69,25,6,static,weighted_tardy_jobs,2.3800000000,1.8900000000,20.588235,25.353,156,217,306.5100000000,495.4800000000,120.2200000000,153.4500000000,2.3800000000,1.8900000000
70,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,81.623,229,229,419.4200000000,419.4200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
71,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83.448,264,264,695.2000000000,695.2000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,static,weighted_tardy_jobs,0.8700000000,0.0000000000,100.000000,88.104,251,251,657.8100000000,705.1200000000,0.8700000000,0.0000000000,0.8700000000,0.0000000000
73,50,6,static,weighted_tardy_jobs,2.5200000000,2.4900000000,1.190476,99.923,237,237,531.2000000000,543.0300000000,67.0100000000,66.5000000000,2.5200000000,2.4900000000
74,50,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,94.456,252,252,359.5400000000,359.5400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,300.312,422,422,1215.0000000000,1215.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,static,weighted_tardy_jobs,7.1700000000,6.5200000000,9.065551,294.922,478,478,1006.2500000000,1115.9400000000,90.7500000000,114.6800000000,7.1700000000,6.5200000000
77,100,6,static,weighted_tardy_jobs,5.2300000000,4.4700000000,14.531549,297.468,482,575,1401.1300000000,1461.9300000000,334.6200000000,389.7400000000,5.2300000000,4.4700000000
78,100,6,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,301.562,441,441,1278.5700000000,1278.5700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,static,weighted_tardy_jobs,18.8700000000,18.8700000000,0.000000,298.750,498,498,1520.0500000000,1520.0500000000,625.2200000000,625.2200000000,18.8700000000,18.8700000000
80,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,40.421,96,96,107.9400000000,107.9400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,39.822,96,96,104.8300000000,104.8300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
82,25,10,static,weighted_tardy_jobs,6.8100000000,6.0600000000,11.013216,40.021,94,124,151.0800000000,221.1300000000,50.2900000000,120.3400000000,6.8100000000,6.0600000000
83,25,10,static,weighted_tardy_jobs,0.5400000000,0.0000000000,100.000000,40.480,102,84,188.0700000000,271.6000000000,3.2400000000,0.0000000000,0.5400000000,0.0000000000
84,25,10,static,weighted_tardy_jobs,3.6100000000,3.6100000000,0.000000,40.554,104,104,176.9700000000,176.9700000000,71.9400000000,71.9400000000,3.6100000000,3.6100000000
85,25,10,static,weighted_tardy_jobs,0.6000000000,0.6000000000,0.000000,41.057,96,96,146.4000000000,146.4000000000,3.6000000000,3.6000000000,0.6000000000,0.6000000000
86,25,10,static,weighted_tardy_jobs,1.5000000000,0.0000000000,100.000000,40.214,99,101,226.8500000000,225.3700000000,12.9800000000,0.0000000000,1.5000000000,0.0000000000
87,25,10,static,weighted_tardy_jobs,1.6800000000,1.6800000000,0.000000,40.154,100,100,176.1800000000,176.1800000000,40.6300000000,40.6300000000,1.6800000000,1.6800000000
88,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,40.659,71,71,114.4100000000,114.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,40.349,91,91,116.0800000000,116.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,132.799,153,153,323.6500000000,323.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,static,weighted_tardy_jobs,5.9400000000,5.9400000000,0.000000,173.880,153,153,358.3700000000,358.3700000000,44.7300000000,44.7300000000,5.9400000000,5.9400000000
92,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,136.572,146,146,318.1300000000,318.1300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,static,weighted_tardy_jobs,3.7000000000,3.2800000000,11.351351,132.997,139,151,338.8600000000,433.2900000000,61.8200000000,93.8900000000,3.7000000000,3.2800000000
94,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,133.594,137,137,247.1400000000,247.1400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
95,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,485.936,266,266,595.4000000000,595.4000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
96,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,487.081,272,272,519.0700000000,519.0700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,static,weighted_tardy_jobs,0.5500000000,0.5500000000,0.000000,487.501,296,296,593.2700000000,593.2700000000,23.6500000000,23.6500000000,0.5500000000,0.5500000000
98,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,532.098,279,279,635.4800000000,635.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,static,weighted_tardy_jobs,7.6000000000,7.6000000000,0.000000,484.777,277,277,734.1000000000,734.1000000000,66.6100000000,66.6100000000,7.6000000000,7.6000000000
100,25,10,static,weighted_tardy_jobs,6.8400000000,6.6500000000,2.777778,41.513,87,106,218.5800000000,284.7300000000,95.0200000000,161.9300000000,6.8400000000,6.6500000000
101,25,10,static,weighted_tardy_jobs,0.4900000000,0.4900000000,0.000000,41.555,95,95,123.5300000000,123.5300000000,7.4200000000,7.4200000000,0.4900000000,0.4900000000
102,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,40.971,72,72,106.5000000000,106.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
103,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,41.074,96,96,182.9500000000,182.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,41.133,68,68,112.4600000000,112.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,41.061,77,77,196.5800000000,196.5800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,41.191,83,83,114.6500000000,114.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
107,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,41.219,83,83,107.0900000000,107.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
108,25,10,static,weighted_tardy_jobs,6.2800000000,5.4900000000,12.579618,41.936,89,89,176.1900000000,181.8500000000,65.8200000000,60.2900000000,6.2800000000,5.4900000000
109,25,10,static,weighted_tardy_jobs,0.9300000000,0.9300000000,0.000000,41.547,74,74,97.3900000000,97.3900000000,4.8000000000,4.8000000000,0.9300000000,0.9300000000
110,50,10,static,weighted_tardy_jobs,0.0600000000,0.0600000000,0.000000,139.848,145,145,275.0700000000,275.0700000000,0.3000000000,0.3000000000,0.0600000000,0.0600000000
111,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,138.918,181,181,255.4700000000,255.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
112,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,135.337,143,143,363.7100000000,363.7100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,132.399,151,151,235.9800000000,235.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,134.110,139,139,241.8600000000,241.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,512.338,269,269,632.8600000000,632.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,static,weighted_tardy_jobs,0.7000000000,0.0000000000,100.000000,791.102,266,266,650.1000000000,697.6700000000,7.7000000000,0.0000000000,0.7000000000,0.0000000000
117,100,10,static,weighted_tardy_jobs,3.3200000000,2.5300000000,23.795181,490.021,277,376,659.7900000000,812.9900000000,36.4800000000,26.3900000000,3.3200000000,2.5300000000
118,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,490.986,272,272,647.5900000000,647.5900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,521.696,287,287,581.4500000000,581.4500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
